Site name,Country,State/Region,Latitude,Longitude,Profile name,Thickness range,Mean thickness (cm),LLST,MLST,MLST-A,MLST-B,MLST-C,MLST-C1,MLST-C2,MLST-C3,ULST,Various,Phase uncertainty,Distance from vent (km),Altitude (m),Depth of tephra layer (cm),Fan direction...23,Fan direction...24,Associated archaeology,Primary,Secondary,Reworked,Fall,Fluvial,XRF,Heavy minerals,Trace elements,Grain size distribution,Shard morphology,Comments,Reference1,Reference2,Reference3,Reference4,Reference5,Reference6,Update,Regional co-ordinates...62,Regional co-ordinates...63,unique_id
Hohe Wurzel,Germany,Hessen,50.111389,8.128611,HW,"68 (Semmel: 40 primary, 40 secondary)",74,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,570,60-128,NE,1,NA,1,NA,1,1,NA,NA,1,NA,Yes,NA,NA,"Hülle, D., A. Hilgers, P. Kühn, og U. Radtke. “The potential of optically stimulated luminescence for dating periglacial slope deposits - A case study from the Taunus area, Germany”. Geomorphology 109, nr. 1–2 (2009): 66–78.","Semmel, Arno. “Der Laacher Bimstuff als Zeitmarke der Landschaftsentwicklung in der Wiesbadener Umgebung”. Jahrbücher des Nassauischen Vereins für Naturkunde 124 (2003): 69–87.","Semmel, A. “Das Quartär im Rhein-Taunus und im Oberen Mittelrhein-Tal. Kolluvien, Solifluktionsdecken, Laacher Bimstuff, Rhein-Terrassen (Exkursion F am 13. April 2007)”. Jahresbericht und Mitteilungen der Oberrheinischen Geologischen Vereins N.F. 89 (2007): 217–35.","Kleber, A., B. Terhorst, H. Bullmann, D. Hülle, M. Leopold, S. Müller, T. Raab, m.fl. “Subdued Mountains of Central Europe”. I Developments in Sedimentology, redigeret af Arno Kleber og Birgit Terhorst, Volume 66:9–93. Elsevier, 2013.",NA,NA,NA,NA,NA,337
Gambach,Germany,Hessen,50.469244,8.736304,Buss Basalt outcrop,7/10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,220,380-387,NE,1,NA,1,NA,1,1,NA,NA,NA,NA,Yes,NA,NA,"Kühn, Peter, Eva Lehndorff, og Markus Fuchs. “Lateglacial to Holocene pedogenesis and formation of colluvial deposits in a loess landscape of Central Europe (Wetterau, Germany)”. CATENA 154 (2017): 118–35. https://doi.org/10.1016/j.catena.2017.02.015.",NA,NA,NA,NA,NA,NA,NA,NA,338
Herbstlabyrinth-Adventhöhle-System,Germany,Hessen,50.683333,8.203889,NA,Blanket cover in cave complex,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Dorsten, I., og D. Harries. “Fund von Laacher-See-Bims im Herbstlabyrinth-Adventhöhlen-System (Hessen)”. Jahrbuch des nassauischen Vereins für Naturkunde 127 (2007): 131–36.",NA,NA,NA,NA,NA,NA,NA,NA,339
Rotes Moor,Germany,Hessen,50.463056,9.806389,Profil I/II,I: 18 (primary & secondary); II: 5 (primary) + 7 (secondary) with hiatus,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,850,310-315,NE,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Beug, Hans-Jürgen. “Untersuchungen zur spätglazialen und frühpostglazialen Floren- und Vegetationsgeschichte einiger Mittelgebirge”. Flora oder Allgemeine Botanische Zeitung 145, nr. 1 (januar 1957): 167–211. https://doi.org/10.1016/S0367-1615(17)31429-5.",NA,NA,NA,NA,NA,NA,NA,NA,340
Hasenholz,Germany,Hessen,49.677882,8.898529,Profil I-IV,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Semmel, Arno. “Near-Surface Substrate on Slopes of the Bunter Sandstone Escarpment in the Odenwald Region (Germany)”. Zeitschrift Für Geomorphologie N.F. 56 (2012): 77–94. https://doi.org/10.1127/0372-8854/2012/s-00089.",NA,NA,NA,NA,NA,NA,NA,NA,341
Wölfersheim,Germany,Hessen,50.409444,8.818056,"P5: R 34 85 20, H 55 86 66 (Blatt Nr. 5518 Butzbach)",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Sabel, K.-J. “Schwermineraluntersuchungen an verschiedenen Böden des Rhein-Main-Gebietes”. Geologisches Jahrbuch Hessen 111 (1983): 303–13.",NA,NA,NA,NA,NA,NA,NA,NA,342
Wiesbaden Südfriedhof,Germany,Hessen,50.058908,8.268463,Steinbrch Dyckerhoff,Traces only,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NE,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Semmel, Arno. “Der Laacher Bimstuff als Zeitmarke der Landschaftsentwicklung in der Wiesbadener Umgebung”. Jahrbücher des Nassauischen Vereins für Naturkunde 124 (2003): 69–87.",NA,NA,NA,NA,NA,NA,NA,NA,343
Steinbruch Dyckerhoff,Germany,Hessen,50.056389,8.275833,"W-Wand; R 34 47 80, H 55 46 78 (Blatt 5915 Wiesbaden)",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NE,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Hilgers, A., Thomas J. Poetsch, og Arno Semmel. “Jungpleistozäne und holozäne Böden und Bodenverlagerungen - ein Beispiel aus dem Taunusvorland bei Wiesbaden”. Geologisches Jahrbuch Hessen 130 (2003): 61–71.",NA,NA,NA,NA,NA,NA,NA,NA,344
Weilbach,Germany,Hessen,50.053611,8.453333,"P4 (Kiesgrube Hocheder): R 34 61 30, H 55 46 22 (Blatt Nr. 5916 Hochheim (Main))",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Sabel, K.-J. “Schwermineraluntersuchungen an verschiedenen Böden des Rhein-Main-Gebietes”. Geologisches Jahrbuch Hessen 111 (1983): 303–13.",NA,NA,NA,NA,NA,NA,NA,NA,345
Stadtwald bad Schwalbach,Germany,Hessen,50.135962,8.054547,Erosionsschlucht SWA15-C2/3,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"Stolz, Christian. “Hinweise auf prähistorische Bodenerosion im Stadtwald von Bad Schwalbach (Rheingau-Taunus-Kreis)”. Jahrbuch des nassauischen Vereins für Naturkunde 126 (2005): 45–54.",NA,NA,NA,NA,NA,Update,NA,NA,346
Oppershofen,Germany,Hessen,50.412778,8.740556,"P1: R 34 80 82, H 55 86 35 (Blatt Nr. 5518 Butzbach)",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Sabel, K.-J. “Schwermineraluntersuchungen an verschiedenen Böden des Rhein-Main-Gebietes”. Geologisches Jahrbuch Hessen 111 (1983): 303–13.",NA,NA,NA,NA,NA,NA,NA,NA,347
Niederdorfelden,Germany,Hessen,50.191111,8.798889,"P2: R 34 86 48, H 55 61 82 (Blatt Nr. 5818 Frankfurt a. M. Ost)",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Sabel, K.-J. “Schwermineraluntersuchungen an verschiedenen Böden des Rhein-Main-Gebietes”. Geologisches Jahrbuch Hessen 111 (1983): 303–13.",NA,NA,NA,NA,NA,NA,NA,NA,348
Mahn-Berg,Germany,Hessen,50.768333,9.726667,"Profil Schönhals: R 35 51 13, H 56 26 35 (Blatt Nr. 5224 Eiterfeld)",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Motzka & Laemmlen (1967), Semmel & Petschick (2006)",NA,NA,NA,NA,NA,NA,NA,NA,349
Kiesgrube Uhlerborn,Germany,Hessen,50.013056,8.143889,Kiesgrube Uhlerborn,Traces only,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,NA,NA,Yes,NA,NA,"Sonne, Volker, og Willy Stöhr. “Bimsvorkommen im Flugsand zwischen Mainz und Ingelheim”. Jahresbericht und Mitteilungen des Oberrheinischen Geologischen Vereins N.F. 41 (1959): 103–16.",NA,NA,NA,NA,NA,NA,NA,NA,350
Hessisches Ried,Germany,Hessen,49.797222,8.451111,Profile Hochgestade: Profil 1 - 4,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88-89,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Thiemeyer, Heinrich. “Aufbau und Eigenschaften typischer Böden im Hessischen Ried”. Geologisches Jahrbuch Hessen 117 (1989): 217–36.",NA,NA,NA,NA,NA,NA,NA,NA,351
Gronauer Hof,Germany,Hessen,50.195833,8.771389,"P3: R 34 83 48, H 55 62 64 (Blatt Nr. 5718 Ilsenstadt)",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Sabel, K.-J. “Schwermineraluntersuchungen an verschiedenen Böden des Rhein-Main-Gebietes”. Geologisches Jahrbuch Hessen 111 (1983): 303–13.",NA,NA,NA,NA,NA,NA,NA,NA,352
Frankfurt Domhügel,Germany,Hessen,50.111389,8.684444,"O-Wand Baugrube: R 34 77 50, H 55 52 80 (Blatt Nr. 5818 Frankfurt); Domstrasse 1",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Plass, W. “Über den geologischen Bau des Domhügels zu Frankfurt a. M. und über das Alter seines oberflächennahen Bodens”. Notizblatt des hessischen Landesamts für Bodenforschung 98 (1970): 264–69.",NA,NA,NA,NA,NA,NA,NA,NA,353
Forst Brüggefeld,Germany,Hessen,51.67,9.461389,"SW Amelith: R 35 32 515, H 57 27 877",Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Semmel, A., og R. Petschick. “Spätglaziale Sedimente und ihre äolischen Beimengungen in einigen deutschen Mittelgebirgen”. Geologisches Jahrbuch Hessen 133 (2006): 109–20.",NA,NA,NA,NA,NA,NA,NA,NA,354
Enkheim,Germany,Hessen,50.148889,8.782778,Profil K1i,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Brinkmann, W. L. F., og R. Lehmann. “Geo-ecologic environment of a river main floodplain sediment profile: a micro-scale study”. GeoJournal 19, nr. 1 (1989): 15–26.",NA,NA,NA,NA,NA,NA,NA,NA,355
Bad Schwalbach,Germany,Hessen,50.136361,8.072464,Profil Halt 1 (SW Bad Schwalach),Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,20-70,NE,1,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Semmel, A. “Das Quartär im Rhein-Taunus und im Oberen Mittelrhein-Tal. Kolluvien, Solifluktionsdecken, Laacher Bimstuff, Rhein-Terrassen (Exkursion F am 13. April 2007)”. Jahresbericht und Mitteilungen der Oberrheinischen Geologischen Vereins N.F. 89 (2007): 217–35.",NA,NA,NA,NA,NA,NA,NA,NA,356
Rothenkirchen,Germany,Hessen,50.725,9.711667,Profil 20/5-20 (Proben 1 & 2),Traces only,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,Federmessergruppen below,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,"Fiedler, Lutz. “Ein endpaläolithischer Fundplatz bei Rothenkirchen, Kreis Fulda”. Archäologisches Korrespondenzblatt 6 (1976): 267–69.","Hofbauer, Helen. “Ein spätpaläolithischer Fundplatz bei Rothenkirchen, Kr. Fulda”. Grabungsbericht. Kassel: Hessisches Landesmuseum, 1985.","Hofbauer, Helen. “Ein spätpaläolithischer Fundplatz bei Rothenkirchen, Kreis Fulda (Hessen)”. Archäologisches Korrespondenzblatt 22 (1992): 329–40.","Preuß, J. “Schwermineralienanalyse, Grabung Rothenkirchen”. Marburg: Fachbereich Geographie der Phillips-Universität, april 1985.","Riede, Felix. “Tephrochronologische Nachuntersuchungen Am Endpaläolithischen Fundplatz Rothenkirchen, Kreis Fulda. Führte Der Ausbruch Des Laacher See-Vulkans (10966 v. Chr.) Zu Einer Anhaltenden Siedlungslücke in Hessen?” Jahrbuch Des Nassauischen Vereins Für Naturkunde 133 (2012): 47–68.",NA,NA,NA,NA,357
Mühlheim-Dietesheim,Germany,Hessen,50.123566,8.878865,NA,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,Federmessergruppen below,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Fruth, Hermann-Josef. “Ein spätpaläolithischer Fundplatz bei Mühlheim-Dietesheim, Kreis Offenbach”. Archäologisches Korrespondenzblatt 9 (1979): 261–66.","Fruth, Hermann-Josef. “Der spätpaläolithische Fundplatz Mühlheim-Dietesheim, Kreis Offenbach”. Fundberichte aus Hessen 22/23, nr. 1982–83 (1994): 1–67.",NA,NA,NA,NA,NA,NA,NA,358
Lahnberge,Germany,Hessen,50.811934,8.803489,NA,Traces only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,NA,NE,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,"Hahn, Jens, og Christian Opp. “Geochemische Eigenschaften von Laacher See-Tephra enthaltenden Bodensubstraten in eruptionsnaher und eruptionsferner Position”. Geologisches Jahrbuch Hessen 137 (2011): 65–77.",NA,NA,NA,NA,NA,NA,NA,NA,359
Frei-Weinheim 2,Germany,Hessen,49.987222,8.029722,Bahneinschnitt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"Sonne, Volker, og Willy Stöhr. “Bimsvorkommen im Flugsand zwischen Mainz und Ingelheim”. Jahresbericht und Mitteilungen des Oberrheinischen Geologischen Vereins N.F. 41 (1959): 103–16.",NA,NA,NA,NA,NA,NA,NA,NA,360
Forst Greifswald,Germany,Mecklenburg-Vorpommern,54.048611,13.407778,"2.5km SE Potthagen, Mbl. Greifswald 1946",0.5,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kleissle, K., og H. M. Müller. “Neue Fundpunkte spätglazialer Bimsaschen im Nordosten der DDR”. Geologie 18, nr. 5 (1969): 600–607.",NA,NA,NA,NA,NA,NA,NA,NA,361
Nonnensee,Germany,Mecklenburg-Vorpommern,54.433889,13.413889,NA,0.6,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kleissle, K., og H. M. Müller. “Neue Fundpunkte spätglazialer Bimsaschen im Nordosten der DDR”. Geologie 18, nr. 5 (1969): 600–607.","Theuerkauf, Martin. “Die Laacher See-Tephra in Nordostdeutschland: Paläoökologische Untersuchungen mit hoher zeitlicher und räumlicher Auflösung”. Greifswalder Geographische Arbeiten 26 (2002): 171–74.",NA,NA,NA,NA,NA,54 27 10,013 24 29,362
Zirmoissel,Germany,Mecklenburg-Vorpommern,54.5075,13.380556,NA,0.7,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kleissle, K., og H. M. Müller. “Neue Fundpunkte spätglazialer Bimsaschen im Nordosten der DDR”. Geologie 18, nr. 5 (1969): 600–607.","Theuerkauf, Martin. “Die Laacher See-Tephra in Nordostdeutschland: Paläoökologische Untersuchungen mit hoher zeitlicher und räumlicher Auflösung”. Greifswalder Geographische Arbeiten 26 (2002): 171–74.",NA,NA,NA,NA,NA,NA,NA,363
Schulzensee bei Peetsch,Germany,Mecklenburg-Vorpommern,53.245833,12.846111,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,1403,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Gärtner, P. “Nordbrandenburgische Flußentwicklung am Beispiel des Rheinsberger Rhin”. Greifswalder Geographische Arbeiten 26 (2002): 27–30.","Mosch, E., og B. W. Scharf. “Die subfossile Chironomidenfauna des Schulzensees (Mecklenburg-Vorpommern)”. Greifswalder Geographische Arbeiten 26 (2002): 119–22.",NA,NA,NA,NA,NA,5906156,4553538,364
Herthamoor,Germany,Mecklenburg-Vorpommern,54.57,13.645833,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Endtmann, E. “Das „Herthamoor“ – ein palynostratigraphisches Leitprofil für das Holozän der Insel Rügen”. Greifswalder Geographische Arbeiten 26 (2002): 146–47.",NA,NA,NA,NA,NA,NA,6050050,4606400,365
Credner-See,Germany,Mecklenburg-Vorpommern,54.479065,13.578596,NE peninsular on Rügen,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kliewe, H. “Landschaftsentwicklung und Formenschatz Mecklenburg-Vorpommerns seit der Weichsel-Eiszeit”. Zeitschrift für den Erdkundeunterricht 48 (1996): 495–505.","Usinger, Hartmut. “Vegetation and climate of the lowlands of northern Central Europe and adjacent areas around the Younger Dryas – Preboreal transition – with special emphasis on the Preboreal oscillation”. I Hunters in a Changing World. Environment and Archaeology of the Pleistocene - Holocene Transition (c. 11000 - 9000 B.C. in Northern Central Europe, redigeret af Thomas Terberger og Berit Valentin Eriksen, 1–26. Rahden: Verlag Marie Leidorf GmbH, 2004.","Klerk, Pim de, Wolfgang Janke, Peter Kühn, and Martin Theuerkauf. “Environmental Impact of the Laacher See Eruption at a Large Distance from the Volcano: Integrated Palaeoecological Studies from Vorpommern (NE Germany).” Palaeogeography, Palaeoclimatology, Palaeoecology 270, no. 1–2 (2008): 196–214. https://doi.org/10.1016/j.palaeo.2008.09.013.",NA,NA,NA,NA,6041386,4603902,366
Plauer Stadtwald,Germany,Mecklenburg-Vorpommern,53.447778,12.266944,NA,1.2,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Theuerkauf, Martin. “Die Laacher See-Tephra in Nordostdeutschland: Paläoökologische Untersuchungen mit hoher zeitlicher und räumlicher Auflösung”. Greifswalder Geographische Arbeiten 26 (2002): 171–74.","Rowinsky, V., og J. Strahl. “Entwicklung von extrem tiefgründigen Kesselmooren im Plauer Stadtwald (Mecklenburg-Vorpommern)”. Telma 34 (2004): 39–64.","Strahl, Jaqueline. “Zur Pollenstratigraphie des Weichselspätglazials von Berlin-Brandenburg”. Brandenburger geowissenschaftliche Beiträge 12, nr. 1/2 (2005): 87–112.","Klerk, Pim de, Wolfgang Janke, Peter Kühn, and Martin Theuerkauf. “Environmental Impact of the Laacher See Eruption at a Large Distance from the Volcano: Integrated Palaeoecological Studies from Vorpommern (NE Germany).” Palaeogeography, Palaeoclimatology, Palaeoecology 270, no. 1–2 (2008): 196–214. https://doi.org/10.1016/j.palaeo.2008.09.013.",NA,NA,NA,5923200,4518250,367
Ackerpohl,Germany,Mecklenburg-Vorpommern,50.487778,12.922778,Bohrung September 1990,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kaiser, Knut, og Antje Zimmermann. “Physisch-geographische Untersuchungen an Mooren und Seen im Havelquellgebiet (Müritz-Nationalpark). Teil 1: Allgemeine physisch-geographische Aspekte, Moorstratigraphie, jüngere Landschaftsgeschichte und aktuelle Raumnutzung”. Berichte der Akademie für Naturschutz und Landschaftspflege Laufen/Salzach (Bayern) 22 (1994): 147–73.",NA,NA,NA,NA,NA,NA,5928770,4560450,368
Horst,Germany,Mecklenburg-Vorpommern,54.138333,13.221944,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,580,NA,352-354,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Theuerkauf, Martin. “Die Vegetation NO-Deutschlands vor und nach dem Ausbruch des Laacher See-Vulkans (12880 cal. BP)”. Greifswalder Geographische Arbeiten 29 (2003): 143–89.","Klerk, Pim de, Wolfgang Janke, Peter Kühn, and Martin Theuerkauf. “Environmental Impact of the Laacher See Eruption at a Large Distance from the Volcano: Integrated Palaeoecological Studies from Vorpommern (NE Germany).” Palaeogeography, Palaeoclimatology, Palaeoecology 270, no. 1–2 (2008): 196–214. https://doi.org/10.1016/j.palaeo.2008.09.013.","Klerk, Pim de, og H. Helbig. “A pollen diagram from a kettle-hole near Horst (Vorpommern, NE Germany) covering the later part of the Weichselian Lateglacial”. Zeitschrift der geologischen Wissenschaften 34, nr. 6 (2006): 379–87.",NA,NA,NA,NA,6000750,4577625,369
Rosenow,Germany,Mecklenburg-Vorpommern,53.627778,13.031944,Soll 2,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Peterss, K., U. Ratzke, og J. Strahl. “Geologie von Söllen bei Rosenow, Landkreis Demmin (Mecklenburg-Vorpommern)”. Greifswalder Geographische Arbeiten 26 (2002): 91–95.",NA,NA,NA,NA,NA,NA,5945460,4570150,370
Sölckensee,Germany,Mecklenburg-Vorpommern,54.04249,13.416673,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Theuerkauf (pers.comm.),NA,NA,NA,NA,NA,NA,NA,NA,371
Rederanksee,Germany,Mecklenburg-Vorpommern,53.582778,12.284722,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Theuerkauf (pers.comm.),NA,NA,NA,NA,NA,NA,NA,NA,372
Zerrinsee bei Qualzow,Germany,Mecklenburg-Vorpommern,53.313333,12.85,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NE,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"Riede, Felix, Oliver Bazely, Anthony J. Newton, and Christine S. Lane. “A Laacher See-Eruption Supplement to Tephrabase: Investigating Distal Tephra Fallout Dynamics.” Quaternary International 246, no. 1–2 (2011): 134–44. https://doi.org/doi: 10.1016/j.quaint.2011.06.029.",NA,NA,NA,NA,NA,NA,NA,NA,373
Mümmelken-Moor,Germany,Mecklenburg-Vorpommern,53.982778,14.111111,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Theuerkauf (pers.comm.),NA,NA,NA,NA,NA,NA,NA,NA,374
Mannhagener Moor,Germany,Mecklenburg-Vorpommern,54.184722,13.2125,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Theuerkauf (pers.comm.),NA,NA,NA,NA,NA,NA,Romer (1997) - reference not known,NA,375
Daschower Moor,Germany,Mecklenburg-Vorpommern,53.507778,12.156111,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Riede, Felix, Oliver Bazely, Anthony J. Newton, and Christine S. Lane. “A Laacher See-Eruption Supplement to Tephrabase: Investigating Distal Tephra Fallout Dynamics.” Quaternary International 246, no. 1–2 (2011): 134–44. https://doi.org/doi: 10.1016/j.quaint.2011.06.029.",NA,NA,NA,NA,NA,NA,NA,NA,376
Herzwolde,Germany,Mecklenburg-Vorpommern,53.308056,13.200556,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Müller, H. M. “Vorkommen Spätglzialer Tuffe in Nordostdeutschland.” Geologie 14, no. 9 (1965): 1118–23.",NA,NA,NA,NA,NA,NA,NA,NA,377
Kleiner Barsch-See,Germany,Mecklenburg-Vorpommern,53.122222,12.994722,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Krey, L., og K. Kloss. “Geographische und pollenanalytische Untersuchungen des Kleinen Barsch-Sees (Bez. Potsdam, DDR”. Limnologica 21, nr. 1 (1990): 117–23.","Schönborn, W. “Analyse subfossiler Protozoenschalen der Sedimente eines kleinen sauren Waldsees (Kleiner Barsch-See, Nördliche DDR)”. Limnologica 21, nr. 137–145 (1990).",NA,NA,NA,NA,NA,NA,NA,378
Tiefer See,Germany,Mecklenburg-Vorpommern,53.592564,12.528573,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,62,1070-1080,NE,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Wulf, Sabine, Nadine Dräger, Florian Ott, Johanna Serb, Oona Appelt, Esther Guðmundsdóttir, Christel van den Bogaard, Michał Słowiński, Mirosław Błaszkiewicz, and Achim Brauer. “Holocene Tephrostratigraphy of Varved Sediment Records from Lakes Tiefer See (NE Germany) and Czechowskie (N Poland).” Quaternary Science Reviews 132 (15 2016): 1–14. http://dx.doi.org/10.1016/j.quascirev.2015.11.007.",NA,NA,NA,NA,NA,NA,NA,NA,379
Zillmannsee,Germany,Mecklenburg-Vorpommern,53.441944,12.869444,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NE,1,Sparse Ahrensburgian finds nearby (see Terberger [1996]); Mesolithic (Schoknecht 1959),1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Kaiser, Knut. “Zur hydrologischen Entwicklung mecklenburgischer Seen im jüngeren Quartär”. Petermanns geographische Mitteilungen 140 (1996): 323–42.","Kaiser, Knut. “Die hydrologische Entwicklung der Müritz im jüngeren Quartär – Befunde und ihre Interpretation”. Zeitschrift für Geomorphologie N.F. 112, nr. Supplement (1998): 143–76.",NA,NA,NA,NA,NA,NA,NA,380
